Gene	seed_specificity
ELK1	0.52
SGK3	0.42000000000000004
PFN2	1.0
RAPGEF3	0.5
CCNB3	1.0
ENDOG	1.0
HUS1B	1.0
ULBP2	1.0
RBPJL	0.95
ACAP1	1.0
RILP	1.0
WIPF3	1.0
FGF3	0.18000000000000005
RBM28	1.0
COL1A2	1.0
CCN4	0.86
GSTA5	1.0
FGF12	0.28
BUB3	1.0
PGD	1.0
TGFA	0.64
EZH2	1.0
APC2	0.09999999999999998
GSTP1	0.31999999999999995
HES5	0.25
PHF19	1.0
ARPC1A	0.83
FGF14	0.28
CSF2RA	0.41000000000000003
ORC5	1.0
CCNG1	1.0
PPID	1.0
KREMEN1	1.0
OCRL	1.0
EVL	1.0
PPP2R5D	0.63
ADGRB1	1.0
FOXO6	0.69
MEFV	0.6699999999999999
SNX5	1.0
USP7	0.61
CASP5	0.77
NLRP2	0.96
SHISA5	1.0
BAIAP2L1	1.0
HLA-A	0.7
DLL3	0.32999999999999996
ORC3	1.0
MYLK2	0.5800000000000001
RBL1	0.6599999999999999
FGF10	0.6799999999999999
GPRIN1	1.0
NOLC1	1.0
THBS1	0.48
LIN54	1.0
TRAF5	0.5900000000000001
EDNRB	0.33999999999999997
NR4A2	0.61
PRDX6	0.6
VPS41	1.0
SOS2	0.49
AEBP2	1.0
TAP2	1.0
ARHGEF11	1.0
SPART	1.0
IL3	0.32999999999999996
SMC1B	1.0
IRF9	0.4
PLA2G4B	0.97
CARD9	0.74
DDIT4	1.0
IL18RAP	0.5
TFDP2	0.69
ZFP36L1	0.79
LIMS1	1.0
CSRP2	1.0
FHOD1	0.8
SNX32	1.0
CAPN1	0.87
HSPA2	0.6
PLCB1	0.44999999999999996
PLPP1	0.77
GSTA1	0.99
MCM6	0.72
PTGER2	0.32999999999999996
RHOJ	1.0
NCOA4	0.32999999999999996
NAMPT	0.81
VPS25	1.0
ZMAT3	1.0
LAMB2	0.25
IQGAP2	1.0
FGF17	0.18000000000000005
DNM2	1.0
CHMP6	1.0
PTTG2	0.8200000000000001
POLK	0.41000000000000003
TLR3	0.32999999999999996
PIM2	0.32999999999999996
IQGAP3	1.0
PARVB	1.0
EGR2	0.5900000000000001
CAPN2	0.84
IFNA1	0.22999999999999998
EI24	1.0
FZD9	0.8
FGF21	0.5900000000000001
CARD8	0.77
WASF1	0.6699999999999999
ORC6	1.0
NAIP	1.0
PRKD3	0.6599999999999999
TKT	1.0
RBFOX1	1.0
EXOC7	0.78
STAG1	1.0
PPP3CA	0.54
B2M	0.56
NUDT16L1	1.0
GNGT1	0.38
PIP5K1B	0.9299999999999999
PTGER1	0.31000000000000005
PARD6G	1.0
KLC4	1.0
HES7	1.0
CAPNS1	0.77
PGF	0.31999999999999995
TMOD3	1.0
CCNB2	0.6699999999999999
PPP1R12B	0.45999999999999996
TRAF1	0.25
GADD45G	0.37
ABCC1	0.8200000000000001
MGST1	0.99
ORC4	1.0
NPHS2	1.0
IL12A	0.5
SESN1	1.0
LYAR	1.0
ELK4	0.43000000000000005
FZD3	0.99
HEY2	0.47
CALCOCO2	1.0
FGF18	0.6
MLKL	1.0
PIP4K2C	0.95
CCND2	1.0
MCM4	0.72
CLDN3	1.0
KIF5C	0.47
ADCY6	0.89
DEFA5	1.0
KLC3	1.0
PFN3	1.0
ATP6V0E1	1.0
GSDMD	0.64
RCAN1	0.5800000000000001
CHAC1	0.88
LLGL2	1.0
WNT6	0.31999999999999995
FAS	0.99
PIP4K2B	0.75
C8G	1.0
FGF11	0.28
LIN37	1.0
DECR1	0.99
NCF2	0.84
CCDC6	0.29000000000000004
PTBP2	1.0
ARPC4	0.79
C9	1.0
MSH2	0.31000000000000005
EGLN3	0.31999999999999995
GAMT	1.0
PDCD4	0.99
ERRFI1	0.72
TNFRSF6B	0.63
TNIP1	1.0
FGF8	0.64
PARD6A	0.98
FGF9	1.0
SESN3	1.0
MAML3	1.0
SCIN	1.0
TRAF4	0.33999999999999997
HLA-G	0.52
STAG2	1.0
AHNAK	0.76
PDGFRA	0.47
CDK7	0.56
IGF2BP1	0.8200000000000001
NOP58	1.0
KIF7	1.0
ORC1	0.69
BCL2L2	1.0
ARPC5L	0.72
CXCL16	0.53
RAD17	0.94
PRKG1	0.74
ITGAV	1.0
CREB3L1	0.43000000000000005
NPHS1	1.0
VPS36	1.0
DCC	0.38
EIF3H	0.77
RAPGEF4	0.51
FN1	0.42000000000000004
DEK	0.78
TXK	0.74
FARP2	1.0
EEA1	0.69
VPS45	1.0
NFKBIB	0.8200000000000001
NR5A1	1.0
PLCB2	0.74
WIPF2	1.0
TNFRSF10D	0.95
PFN4	1.0
PARD6B	1.0
PRM1	1.0
CLDN2	0.6599999999999999
GBP5	1.0
CREBBP	0.8200000000000001
FPR1	1.0
GBP2	1.0
FGF1	0.31999999999999995
FGF23	1.0
TCF7L1	0.75
TPR	0.32999999999999996
FSCN1	1.0
SNX2	1.0
TNFRSF13C	0.5700000000000001
ASXL1	1.0
RBL2	0.6799999999999999
PLA2G5	0.71
AIFM2	1.0
NTRK2	0.42000000000000004
CIR1	1.0
CREB3L3	0.22999999999999998
TFCP2	0.6
RAB1B	1.0
