Gene	seed_specificity
FHOD1	0.8
ATP1A3	1.0
PAK5	0.6
SESN1	1.0
RGS5	1.0
CXCL16	0.53
FGD3	1.0
FOXO6	0.69
NRF1	0.84
BMP6	0.84
ACTG1	0.6599999999999999
EGR2	0.5900000000000001
IGF2BP1	0.8200000000000001
PTH1R	0.79
EIF3H	0.77
ARPC5L	0.72
ABCC1	0.8200000000000001
CSRP2	1.0
CAPZB	1.0
TEAD2	1.0
RYR2	0.45999999999999996
SSTR1	0.77
IQGAP3	1.0
MFN2	0.6599999999999999
ARHGEF6	0.63
IL1RAP	0.65
WASF1	0.6699999999999999
FGD1	1.0
FZD9	0.8
PFN2	1.0
TGFA	0.64
PFN4	1.0
NR4A2	0.61
CALCOCO2	1.0
TCF7L1	0.75
PPP2R2A	0.87
DDC	1.0
IL18RAP	0.5
IQGAP2	1.0
RGS18	1.0
PFN3	1.0
TLE4	0.8
RGS20	1.0
