Gene	seed_specificity
ACLY	0.96
PRR5	1.0
LSM7	1.0
SLC6A3	0.74
GSTP1	0.31999999999999995
CSF2RA	0.41000000000000003
CLDN1	1.0
RCAN1	0.5800000000000001
INSIG1	0.96
TBK1	1.0
ADIPOR1	0.89
DCP2	1.0
PSMD8	0.5700000000000001
TFCP2	0.6
GNGT1	0.38
CTSL	0.76
TNFRSF9	0.65
LSM5	1.0
EXOC6	1.0
SQLE	1.0
TOLLIP	0.96
DDIT4	1.0
ERRFI1	0.72
EDC4	1.0
ATP5PO	1.0
DPYSL2	0.71
POU2F2	0.6799999999999999
DLL3	0.32999999999999996
NRF1	0.84
SEMA3C	1.0
PRKAB2	0.96
CNOT7	1.0
PYGB	1.0
PAK2	0.94
CREB3L3	0.22999999999999998
PLA2G4D	1.0
ATF6	0.87
MIOS	1.0
ACP5	0.92
HLA-A	0.7
GSTA5	1.0
PRKAA2	0.83
TMOD3	1.0
C9orf72	1.0
RUBCN	1.0
CCL4	0.75
ARPC5L	0.72
PTGER2	0.32999999999999996
CCNB3	1.0
LYN	1.0
CAPZB	1.0
HLA-G	0.52
THPO	0.65
SEPTIN5	1.0
KMT2A	0.89
EIF5	1.0
PARD6G	1.0
KCNA3	1.0
NRBF2	1.0
PHKG2	1.0
PYGM	0.99
XRN1	1.0
EIF4E1B	1.0
MLXIP	1.0
SH3BP2	0.94
ORC5	1.0
PLA2G12B	0.98
TAP1	0.77
CDK7	0.56
PIK3IP1	0.64
NXT2	1.0
PIAS2	0.84
PLA2G5	0.71
SH2B2	0.9299999999999999
PLPP1	0.77
RBL2	0.6799999999999999
EGLN3	0.31999999999999995
TPR	0.32999999999999996
ARHGEF11	1.0
PPP1R3A	1.0
FCGR2A	0.9
ADRM1	0.5800000000000001
SGK3	0.42000000000000004
ARHGEF6	0.63
CACNA1C	0.69
CCL3	0.85
PDS5B	1.0
ADIPOR2	0.8
PRKCI	0.98
KLC2	0.56
ORC6	1.0
TGFA	0.64
ULBP2	1.0
SIK1	0.84
PTGER1	0.31000000000000005
TAP2	1.0
PLCB2	0.74
USP7	0.61
NCF1	0.91
TBC1D4	0.69
IRAK2	1.0
MAP2K5	0.88
STRADA	1.0
GRIN1	0.6699999999999999
ACSL5	0.98
ORC1	0.69
SNIP1	1.0
PPP1R12B	0.45999999999999996
AKAP9	1.0
IL17RC	0.69
PTTG2	0.8200000000000001
